t,dt,cost,slope
4.34973,0.00041,128050.21969,1124.19947
4.35014,0.00041,129372.97886,1134.49190
4.35055,0.00041,130648.66548,1144.79176
4.35095,0.00040,131968.33680,1155.54407
4.35134,0.00040,133219.71077,1166.18450
4.35174,0.00039,134675.55135,1178.20002
4.35213,0.00039,135764.53834,1188.57812
4.35251,0.00039,137238.63640,1199.07767
4.35289,0.00038,138739.22637,1210.65763
4.35327,0.00038,140051.96165,1222.11158
4.35365,0.00037,141431.05586,1234.22990
4.35402,0.00037,142802.35595,1245.24238
4.35438,0.00037,144515.33236,1258.57004
4.35474,0.00036,145816.83156,1270.08195
4.35510,0.00036,147372.93537,1282.52886
4.35546,0.00036,148573.09896,1294.12371
4.35581,0.00035,150399.99021,1308.31492
4.35616,0.00035,151837.73129,1321.51052
4.35650,0.00034,153751.30229,1338.72551
4.35685,0.00034,155216.89236,1353.68376
4.35718,0.00034,156809.16656,1369.02743
4.35752,0.00033,158204.86795,1382.82339
4.35785,0.00033,159725.19247,1396.46535
4.35818,0.00033,161302.50256,1411.03053
4.35850,0.00032,162847.21665,1423.40441
4.35882,0.00032,164254.52296,1433.50744
4.35914,0.00032,166043.93484,1446.64767
4.35946,0.00032,168187.14933,1463.31998
4.35977,0.00031,169629.03586,1478.58551
4.36008,0.00031,171265.96547,1492.87360
4.36039,0.00031,172937.59878,1507.40382
4.36069,0.00030,174963.04975,1524.15181
4.36099,0.00030,176414.15479,1538.77482
4.36128,0.00030,178356.66093,1554.66846
4.36158,0.00029,180198.37340,1570.43432
4.36187,0.00029,182022.89015,1587.10890
4.36216,0.00029,183881.15061,1602.21584
4.36244,0.00029,185624.59455,1617.32806
4.36272,0.00028,187695.04995,1634.61815
4.36300,0.00028,189576.81702,1651.31968
4.36328,0.00028,191388.02334,1667.18188
4.36355,0.00027,193349.56562,1682.92863
4.36382,0.00027,195508.43482,1701.92679
4.36409,0.00027,197259.78085,1718.51100
4.36436,0.00027,199436.69516,1736.98260
4.36462,0.00026,201412.81722,1753.31518
4.36488,0.00026,203326.36355,1771.08203
4.36514,0.00026,205678.38012,1790.38964
4.36539,0.00026,207549.74468,1811.01181
4.36565,0.00025,209346.20137,1829.39453
4.36590,0.00025,211949.86259,1851.47203
4.36615,0.00025,213721.67034,1870.07184
4.36639,0.00025,215679.10341,1887.08367
4.36663,0.00024,218206.91295,1906.38588
4.36687,0.00024,220269.28102,1924.32791
4.36711,0.00024,222696.64737,1942.08662
4.36735,0.00024,225006.89987,1961.08779
4.36758,0.00023,226921.58829,1980.98767
4.36781,0.00023,224808.90675,1971.06815
4.36804,0.00023,223069.86237,1936.66650
4.36827,0.00023,225336.83465,1905.36941
4.36849,0.00022,227580.48574,1879.20167
4.36871,0.00022,229910.14917,1854.66009
4.36893,0.00022,232197.54488,1834.47006
4.36915,0.00022,234561.44268,1818.27654
4.36936,0.00022,236916.69445,1805.67284
4.36958,0.00021,239327.31168,1797.01270
4.36979,0.00021,241759.53974,1791.39796
4.37000,0.00021,244153.86955,1790.53290
4.37020,0.00021,246642.98445,1793.58363
4.37041,0.00020,249160.79193,1799.97840
4.37061,0.00020,251651.10380,1810.26223
4.37081,0.00020,254184.70160,1825.83998
4.37101,0.00020,256784.58546,1844.16208
4.37120,0.00020,259352.50831,1867.57973
4.37140,0.00019,261942.69090,1894.67779
4.37159,0.00019,264645.72329,1925.47956
4.37178,0.00019,267334.79763,1962.56762
4.37197,0.00019,269970.75423,2002.13449
4.37216,0.00019,272724.30975,2044.08206
4.37234,0.00019,275501.70713,2093.70523
4.37253,0.00018,278250.03471,2145.00222
4.37271,0.00018,281072.16138,2199.29485
4.37289,0.00018,283953.99416,2260.51720
4.37306,0.00018,286775.23974,2324.91094
4.37324,0.00018,289632.87525,2394.89041
4.37341,0.00017,292662.59009,2470.56667
4.37359,0.00017,295620.12148,2548.42589
4.37376,0.00017,298497.23140,2599.71025
4.37393,0.00017,301523.88971,2625.74123
4.37409,0.00017,304580.07436,2652.21658
4.37426,0.00017,307729.36631,2679.22500
4.37442,0.00016,310786.02844,2706.35912
4.37459,0.00016,313894.30308,2733.33695
4.37475,0.00016,317087.67321,2760.86985
4.37491,0.00016,320310.21199,2788.71732
4.37506,0.00016,323494.09464,2816.62590
4.37522,0.00016,326781.71272,2845.06983
4.37537,0.00015,330094.56041,2873.56993
4.37553,0.00015,333405.85402,2902.36118
4.37568,0.00015,336808.20569,2931.86310
4.37583,0.00015,340208.31851,2961.47806
4.37598,0.00015,343621.27131,2991.18261
4.37612,0.00015,347086.00440,3021.37672
4.37627,0.00015,350598.67716,3051.76443
4.37641,0.00014,354185.56873,3082.55775
4.37655,0.00014,357729.23873,3113.81262
4.37670,0.00014,361338.22248,3145.48012
4.37684,0.00014,364989.78380,3177.05933
4.37697,0.00014,368655.29414,3208.99937
4.37711,0.00014,372439.20354,3241.82277
4.37725,0.00014,376219.50897,3274.85797
4.37738,0.00013,379966.35878,3307.93892
4.37751,0.00013,383827.84767,3341.80554
4.37764,0.00013,387661.86557,3375.42686
4.37777,0.00013,391640.15651,3409.53404
4.37790,0.00013,395537.10696,3444.29042
4.37803,0.00013,399530.10832,3479.43200
4.37816,0.00013,403556.73820,3514.16038
4.37828,0.00013,407721.19051,3549.88466
4.37841,0.00012,412055.53857,3587.39830
4.37853,0.00012,415737.00439,3622.56258
4.37865,0.00012,419942.65601,3657.88374
4.37877,0.00012,424178.39294,3693.40059
4.37889,0.00012,428497.19440,3729.73424
4.37901,0.00012,432857.33607,3766.85183
4.37912,0.00012,437257.66835,3804.23988
4.37924,0.00012,441742.30993,3842.61650
