n,t,i,p,u,v,w
170,0.060000000000000005,5,0.10142262500812667,8.740001024162628e-05,8.756632587856236e-05,0.00010178321374361497
171,0.060000000000000005,6,0.10115158550479875,8.906975529367718e-05,8.922500258528156e-05,0.0001005920660731093
172,0.060000000000000005,7,0.10087073831490422,9.08987024137725e-05,9.107808405533603e-05,0.00010172926490787759
173,0.060000000000000005,8,0.10064013551683157,9.267599369025424e-05,9.287251000119994e-05,0.00010275290687405252
174,0.060000000000000005,9,0.10046869211102837,9.408211033578075e-05,9.429172042874437e-05,0.00010303768224695967
175,0.060000000000000005,10,0.10023091100127016,9.520443754984456e-05,9.53762196488667e-05,0.00010280213082606459
176,0.060000000000000005,11,0.09991224799754288,9.629543135764531e-05,9.642755427798953e-05,0.0001024717735997834
177,0.060000000000000005,1,0.09909089205057879,0.00019550795707869067,0.0001957604458534092,0.0005751129422748591
178,0.060000000000000005,1,0.09913566943332548,0.0006707862486753085,0.0006707792943524883,0.0010900376491023262
179,0.060000000000000005,1,0.09712150633426146,3.2949684092924036e-07,3.2960835191434004e-07,4.3014546246231177e-07
180,0.07,1,0.09709357939543536,2.1702260986631225e-07,2.169954825006528e-07,2.606514776579964e-07
181,0.07,1,0.10052885687061502,0.0006877625254547549,0.0006876836103226474,0.001583125392069496
182,0.07,2,0.09880742592912538,0.00018170344639352554,0.00018220370481434488,0.0004646106499107341
183,0.07,1,0.10089783949267034,0.0004919914023579171,0.0004914771179120583,0.0012252712809775565
184,0.07,2,0.0996960579275503,0.00016125487509367092,0.00016149179072383715,0.0004150296374962088
185,0.07,1,0.09855878979580208,0.00024644906729575706,0.0002463322236649035,0.0005071544763123764
186,0.07,1,0.09831271881419049,0.0004963820051007345,0.0004956425461771169,0.0010515519094871193
187,0.07,1,0.09737718034621486,2.7266348424984597e-07,2.736065051725331e-07,4.4700224546851643e-07
188,0.08,1,0.09733159115755216,1.6289943493772717e-07,1.6329964822073894e-07,2.2174279221052121e-07
189,0.08,1,0.09950337467257274,0.0006833837213421465,0.0006840625391536358,0.0016656329511775664
190,0.08,1,0.10041951201451892,0.0006808175497660163,0.0006826989700484509,0.0017618384874751164
191,0.08,2,0.09919366035652707,0.00023015256245085576,0.00023202267002431633,0.0006783812350899642
192,0.08,1,0.0979664193656026,0.00022906984621654357,0.00022854141826104984,0.0004620760671294534
193,0.08,1,0.09864374884531801,0.0004971997831827873,0.0004982703878553302,0.0009857123141758625
194,0.08,1,0.09801257327371724,2.3804893467590232e-07,2.3809464777043126e-07,6.019241314280045e-07
195,0.09,1,0.0979599513157228,1.2736515074044284e-07,1.2713404257485606e-07,2.539591706785788e-07
196,0.09,1,0.10093907919099697,0.0007651255399398873,0.0007688025049190792,0.0016627427998144712
197,0.09,2,0.099452020300405,0.00024144643853000374,0.00024401466975137464,0.0006184814738555273
198,0.09,1,0.10159970367381974,0.0006120730756663535,0.0006161633213790154,0.001381090793720542
199,0.09,2,0.10092285134766377,0.00021835900697336947,0.00022102903934841648,0.000572701436506567
200,0.09,3,0.1006253769824256,0.00011329520943996328,0.00011436740224856131,0.00027700003388192576
201,0.09,4,0.10033438662063342,8.718982859490561e-05,8.738592720243545e-05,0.00015050618402920346
202,0.09,5,0.1000516983714698,8.30498284839283e-05,8.292703200987834e-05,0.00010379169206776606
203,0.09,6,0.09978094395857762,8.340941878321488e-05,8.329116554519833e-05,9.207732674941101e-05
204,0.09,1,0.09883551887471065,0.00028694921054265644,0.00028805383854144925,0.0005705700379444171
205,0.09,1,0.09919292758738732,0.0006117155057329687,0.0006108124229083555,0.0008857543153369319
206,0.09,1,0.09780710345986787,2.2730296646030588e-07,2.2681765632258764e-07,4.077728486157978e-07
207,0.09999999999999999,1,0.09775831861203711,1.3422898639785506e-07,1.3374482466703215e-07,2.0478271893428568e-07
208,0.09999999999999999,1,0.10111320864198668,0.0009068234302592202,0.0009099381394309844,0.0015869951423046107
209,0.09999999999999999,2,0.09921263521614083,0.00027831799379158384,0.00028040302462814087,0.0005801232804670957
210,0.09999999999999999,1,0.10169359446491281,0.0007271600596017223,0.0007294665656819488,0.0013102375259581556
211,0.09999999999999999,2,0.1006752158517149,0.00025490649939827664,0.00025654346688989526,0.0005385797584078663
212,0.09999999999999999,3,0.10042929187489757,0.00012597211081236505,0.00012652881757537783,0.00025986613279780886
213,0.09999999999999999,4,0.10017290654974294,9.168948516361792e-05,9.167208089217692e-05,0.00014384276547116593
214,0.09999999999999999,5,0.0999138967035203,8.561325513780621e-05,8.545669895186109e-05,0.00010371811849442009
215,0.09999999999999999,1,0.09907445716201188,0.00034263761015241884,0.00034294736107535724,0.0005411417108999963
216,0.09999999999999999,1,0.09956486302529481,0.0006753783954836847,0.0006732445761181581,0.0008013479311892826
217,0.09999999999999999,1,0.09823807227727367,2.3423567366879007e-07,2.3445129647551376e-07,4.035149646665464e-07
218,0.10999999999999999,1,0.09822730927822054,1.347007986878083e-07,1.3472924759974907e-07,1.9046410302660648e-07
219,0.10999999999999999,1,0.1013022791941183,0.001064141669178947,0.0010659764041345433,0.0014648499334725578
220,0.10999999999999999,2,0.09935566591547193,0.00033362607674796454,0.0003346943100711565,0.0005384873573860891
221,0.10999999999999999,1,0.10145047068897804,0.0008527071804403444,0.0008539590999648453,0.001189968684572988
222,0.10999999999999999,2,0.10034067141114845,0.00030409690577804183,0.00030495996004774084,0.0004891298118339641
223,0.10999999999999999,3,0.10010590193630682,0.00014284787280264543,0.00014315458281485217,0.0002354692462191434
224,0.10999999999999999,4,0.0998556650088718,9.301224467296544e-05,9.297478611966091e-05,0.0001329418974507587
225,0.10999999999999999,1,0.0992012616182178,0.0003884147567039407,0.0003884285740881254,0.00047549826921701536
226,0.10999999999999999,1,0.09939244238228055,0.0007240368914843738,0.0007237806755179711,0.0006819466509548681
227,0.10999999999999999,1,0.0982482948963024,2.3424757109395038e-07,2.346391584319067e-07,3.9912137002520424e-07
