n,t,i,p,u,v,w
145,0.03,1,0.09430330179709803,4.1896727785583565e-07,4.1777028288077374e-07,5.107812883400404e-07
146,0.04,1,0.0940764831602,2.620392291175803e-07,2.608590674764516e-07,2.833697764972209e-07
147,0.04,1,0.0950216004641784,0.000663178549372321,0.0006646081842847335,0.0019754706850544077
148,0.04,1,0.09532471033713988,0.0006274877583142791,0.0006280212146442301,0.0019170781272158078
149,0.04,1,0.09267763799145265,0.00016258222593025157,0.0001625206954148637,0.00041096802586444877
150,0.04,1,0.09348962049704417,0.0005345124306524342,0.0005340402246476052,0.0012998711791013136
151,0.04,1,0.09224399729508441,2.9544462732252914e-07,2.958833479571678e-07,8.969408877938202e-07
152,0.05,1,0.09190223321349698,1.6469625578245813e-07,1.6472677614001581e-07,4.172352905149156e-07
153,0.05,1,0.09602882051491393,0.0006803682618972341,0.0006801899093846272,0.0020164916053534016
154,0.05,2,0.0942297753377511,0.00021212887071101762,0.0002120670247807643,0.000621112570664439
155,0.05,1,0.09742560488068863,0.0005222907331248446,0.0005226533233115688,0.0015224866409473572
156,0.05,1,0.09449682281040195,0.00016309615857540546,0.00016259296051022193,0.00039755352368289233
157,0.05,1,0.09790513926450965,0.000499924635196302,0.0005019536610722568,0.0012676709575493094
158,0.05,1,0.09699923444820668,2.5102536072215943e-07,2.5076268265671025e-07,7.196975356027423e-07
159,0.060000000000000005,1,0.09679366720502122,1.349953718102195e-07,1.3478361077843618e-07,3.1307727331577087e-07
160,0.060000000000000005,1,0.1029884408957785,0.0006457283353174617,0.0006482314576574323,0.001952911339461709
161,0.060000000000000005,2,0.10142401789379257,0.00021800298890322303,0.00021897673083875197,0.0006934790092944834
162,0.060000000000000005,3,0.10096935824121342,0.00011224472854126492,0.00011251806935843471,0.0003099496150491399
163,0.060000000000000005,4,0.10060586759892695,8.965744524678805e-05,8.965882636987948e-05,0.00016477861139400452
164,0.060000000000000005,5,0.1002566715269189,8.619381368986178e-05,8.617541818383108e-05,0.00011308270791752171
165,0.060000000000000005,6,0.09992866164681666,8.58402702181628e-05,8.588945171501043e-05,9.899601196266451e-05
166,0.060000000000000005,1,0.10335188529117606,0.0003604722213129466,0.00036247041186059694,0.001141023002372907
167,0.060000000000000005,2,0.10227007436659162,0.00012838643855932509,0.00012901289813650936,0.00039589825360731294
168,0.060000000000000005,3,0.10199229108805861,9.024600403413158e-05,9.046562160248125e-05,0.00018443317407492585
169,0.060000000000000005,4,0.10173341823608774,8.652599087150974e-05,8.673122668900457e-05,0.00011712196082474979
170,0.060000000000000005,5,0.10147045180560385,8.76403005773335e-05,8.783970569291273e-05,0.00010213310574172323
171,0.060000000000000005,6,0.10119960606136517,8.934840682140146e-05,8.955454131898252e-05,0.00010082359873085596
172,0.060000000000000005,7,0.1009327422239933,9.117969199257251e-05,9.136874494379144e-05,0.00010188118803367158
173,0.060000000000000005,8,0.1007025568028958,9.293616963022808e-05,9.31637380126734e-05,0.0001028499693194349
174,0.060000000000000005,9,0.10051356408448325,9.434459094248886e-05,9.456887403546738e-05,0.00010316978083371792
175,0.060000000000000005,10,0.10027541660363216,9.539336188836957e-05,9.563421263277503e-05,0.00010285781642311296
176,0.060000000000000005,11,0.09995389064773612,9.641202037065293e-05,9.662087315481431e-05,0.00010237808349543722
177,0.060000000000000005,1,0.09912301088919213,0.00019519648574148433,0.00019545012069888565,0.0005755022195910949
178,0.060000000000000005,1,0.09909427160062717,0.0006715908901720362,0.0006728255973285284,0.0010960757892848388
179,0.060000000000000005,1,0.09707921801178371,3.2978956173024154e-07,3.3061266693456523e-07,4.2952225141347327e-07
180,0.07,1,0.0970520170283901,2.1700367476932285e-07,2.1737530923608207e-07,2.602944951722267e-07
181,0.07,1,0.1004334344330581,0.000687723939301611,0.0006881048781885428,0.001590167442370359
182,0.07,2,0.09870236021020565,0.00018224566994318983,0.00018295421808170928,0.00046716643549501356
183,0.07,1,0.10075347007383331,0.0004919476338596716,0.0004924097304008386,0.0012311760123649943
184,0.07,2,0.09955086878735972,0.0001617812387999604,0.00016232739028106417,0.00041786720741540315
185,0.07,1,0.09843752307819426,0.0002461800548264972,0.00024612351865938476,0.0005085340604329253
186,0.07,1,0.09817345232374833,0.0004950229291234796,0.000495209133683999,0.0010545998425112875
187,0.07,1,0.09724242801440039,2.7273257657059925e-07,2.7407808642021894e-07,4.4670364260925886e-07
188,0.08,1,0.09719794462574098,1.629418813011946e-07,1.634556023281539e-07,2.2160985525914898e-07
